filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag7.40.pow,TRUE,TRUE,TRUE,3400.076598,14.56800664,148.7619048,53.9864366,0.790459056,0.046478061,0.864999493,0.015521969,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag8.47.pow,FALSE,TRUE,TRUE,3325.364942,19.28035564,148.1587302,36.29382971,0.751604119,0.044756588,0.852894733,0.015537903,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag8.74.pow,FALSE,TRUE,TRUE,3386.480024,23.15267167,148.3174603,56.42478412,0.790417654,0.046581927,0.866711523,0.015595699,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag9.06.pow,FALSE,TRUE,TRUE,3115.049239,95.30774226,148.8888889,140.1546882,0.605795147,0.037489453,0.791135643,0.015080985,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag9.99.pow,FALSE,FALSE,FALSE,,,,,,,,,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag10.36.pow,FALSE,FALSE,FALSE,,,,,,,,,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_1_cams24_vmag7.10.pow,TRUE,TRUE,TRUE,3121.743706,23.73375863,140,54.04121716,0.829553311,0.051295412,0.915334764,0.017444716,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag7.35.pow,TRUE,TRUE,TRUE,3018.149373,26.88313583,135.8571429,5.225210665,0.845389777,0.053378855,0.939754815,0.0183586,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag7.98.pow,TRUE,TRUE,TRUE,3112.200214,23.91772147,138.8571429,47.81662332,0.849365066,0.05262148,0.927619484,0.017720424,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag8.65.pow,MAYBE,TRUE,TRUE,3159.543515,12.4987668,140.3809524,37.04648974,0.85075595,0.052226122,0.921396919,0.017411055,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag8.90.pow,FALSE,TRUE,TRUE,3135.764829,18.32630958,140.5555556,34.99573454,0.827566876,0.05103281,0.912191952,0.017328407,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag9.97.pow,FALSE,FALSE,FALSE,,,,,,,,,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_2_cams24_vmag7.44.pow,MAYBE,TRUE,TRUE,3901.419802,17.79997711,160.1587302,73.89548253,0.96403952,0.052672797,0.879795524,0.014429833,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
